id,district,microdistrict,city,area,ceiling_height,year,add_time,update_time,rooms,text,housing_estate,floor,total_floors,building_type1,building_type2,lat,lng,currency,price,street,build_number,total_area,living_area,kitchen_area,with_hosts,not_assignment,collateral_real_estate,from_builder,by_assignment,no_commission,contract_of_lifelong_maintenance,exclusive,surrendered_first_time,without_finishing,without_a_balcony,common_kitchen,is_tech_floor,do_not_disturb_mediators
336173149,1,,4,,3,2016,1485342608,1491829832,,,85,,30,1,,50.409476,30.545791,1,4125,517,11,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False
337041715,1,,4,,3,2013,1484910320,1491826274,3,,122,3,10,1,,50.410927,30.544386,1,2500,517,16б,116,56,,,,,,,,,,,,,,,
337515397,1,7,4,,3.58,1958,1488627635,1491904641,3,,,5,6,0,17,50.432841,30.547786,2,105000,153,6/8,80,63,9,,,,,,,,,,,,,,
336173152,1,,4,,3,2016,1485342608,1491829832,,,85,,30,1,,50.409476,30.545791,1,4167,517,11,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False
338174501,3,57,4,,2.75,2014,1490616766,1491229116,3,,121,8,25,1,,50.471722,30.434525,2,74900,710,73г,106,56,15,True,,False,False,False,False,False,False,False,False,False,False,False,False
336841214,1,26,4,,,,1456420549,1491873708,,,,,26,,,50.427137,30.551388,1,3297,231,,,,,,,,,,,,,,,,,,
338741787,1,26,4,,3.03,,1491854139,1491854139,3,,85,14,22,,,50.4114007222,30.5455394831,1,2500,517,,120,76,25,True,,False,False,False,False,False,False,False,False,False,False,False,False
338425129,6,49,4,,,,1491391744,1491394371,3,,,3,5,0,,50.448663,30.626982,1,4500,191,13б,57,42,8,,,,,,,,,,,,,,
338290655,3,20,4,,,,1490883956,1491355630,2,,112,16,18,,,50.472225,30.464632,2,67650,698,32,73,40,13,True,,,False,False,False,False,False,False,False,False,False,False,False
336943292,9,16,4,,2.5,1980,1464286255,1491905086,3,,,12,16,3,2,50.520259,30.511434,2,68500,345,51а,70,46,8,,,,,,,,,,,,,,
338459711,3,,4,,2.75,2013,1491396852,1491816066,2,,212,21,25,1,,50.462461,30.43264,2,114000,120,1,64,33,27,True,False,False,False,False,False,False,False,False,False,False,False,False,False
338116848,9,16,4,,2.75,2002,1490369131,1491873920,3,,,12,16,2,1,50.527479,30.503882,2,105000,782,6,81,49,13.12,,,,,,,,,,,,,,
336173181,1,,4,,,,1423710523,1491909015,,,85,,20,,,50.4114007222,30.5455394831,1,4061,517,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False
336537390,7,,4,,2.75,2013,1486123802,1491833418,,,83,6,25,1,,50.401217,30.512024,1,3150,320,60,,,,,,,,,,,,,,,,,
337976370,1,31,4,,3,2015,1490091010,1491826220,,,30,,24,1,,50.415621,30.530935,1,3113,101,7,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False
338379435,1,,4,,3,2014,1491234261,1491752683,4,,85,23,30,1,,50.408507,30.543887,1,2900,517,17,147,,,True,,False,False,False,False,False,False,False,False,False,False,False,False
338752563,1,,4,,,,1483078068,1491899146,3,,85,10,10,0,,50.4114007222,30.5455394831,1,3000,517,,120,,,,,,,,,,,,,,,,
335675444,1,7,4,,3,2005,1484147825,1491238640,1,,,12,26,1,9,50.434505,30.536854,1,2900,269,28а,87,30,18,True,False,False,False,False,False,False,False,False,False,False,False,False,False
338174852,3,,4,,3,1955,1490618525,1491826309,2,,,3,5,0,17,50.460915,30.46416,2,68000,783,8,56,33,8,,,,,,,,,,,,,,
336183082,4,46,4,,2.75,2011,1485360701,1491823554,3,,151,16,22,1,,50.518471,30.597962,2,90000,228,9,103,60,12,,,,,,,,,,,,,,
336173148,1,,4,,3,2016,1485342608,1491829832,,,85,,30,1,,50.409476,30.545791,1,4362,517,11,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False
338523380,5,,4,,2.75,1990,1491681312,1491805575,4,,,5,15,3,0,50.41008,30.643079,2,80000,440,18а,95,60,10,,,,,,,,,,,,,,
337116809,5,,4,,2.8,2014,1487704234,1491693188,3,,113,7,22,1,,50.419,30.6427,2,85000,440,9,103,52,18,True,False,False,False,False,False,False,False,False,False,False,False,False,False
337582439,3,,4,,2.9,2009,1406029042,1491905529,,,,,25,1,12,50.44538,30.497092,1,3327,180,27б,,,,,,,,,,,,,,,,,
328644618,1,,4,,3,2014,1462367404,1491758303,,,85,,18,1,,50.409632,30.544295,1,2587,517,20,,,,True,,False,False,False,False,False,False,False,False,False,False,False,False
337502592,0,36,4,,2.7,,1475079046,1491910502,1,,82,18,20,1,,50.435446,30.486592,2,70000,760,16а,48,15,21,True,False,False,False,False,False,False,False,False,False,False,False,False,False
336120305,1,,4,,3,2015,1485264407,1491497137,2,,85,,,,,50.408946,30.544906,1,2550,517,15,84,,,True,,False,False,False,False,False,False,False,False,False,False,False,False
338111810,1,,4,,,,1490357404,1491844714,,,,,22,,,,,1,2589,,,,,,,,,,,,,,,,,,,
